Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
August 05, 2024 - 09:16:12
Django version 5.0.7, using settings 'transcendence.settings'
Starting ASGI/Channels version 3.0.4 development server at http://0.0.0.0:8000/
Quit the server with CONTROL-C.
HTTP GET /login 302 [0.01, 172.18.0.13:35350]
HTTP GET /en/login/ 200 [0.02, 172.18.0.13:35364]
HTTP GET /static/css/base.css 200 [0.00, 172.18.0.13:35374]
HTTP GET /static/css/header.css 200 [0.00, 172.18.0.13:35382]
HTTP GET /static/css/footer.css 200 [0.00, 172.18.0.13:35392]
HTTP GET /static/js/notif.js 200 [0.00, 172.18.0.13:35406]
HTTP GET /static/login/img/42_Logo.png 200 [0.01, 172.18.0.13:35422]
HTTP GET /static/login/img/pong-demo.gif 200 [0.01, 172.18.0.13:35426]
HTTP GET /static/home/css/home.css 200 [0.01, 172.18.0.13:35448]
HTTP GET /static/css/home.css 200 [0.01, 172.18.0.13:35462]
HTTP GET /static/login/css/login.css 200 [0.01, 172.18.0.13:35482]
HTTP GET /static/pongTournament/css/pongTournamentLobby.css 200 [0.01, 172.18.0.13:35500]
HTTP GET /static/pongCustom/css/pongCustom.css 200 [0.01, 172.18.0.13:35508]
HTTP GET /static/pongLocal/css/pongLocal.css 200 [0.01, 172.18.0.13:35520]
HTTP GET /static/profil/css/box-profil.css 200 [0.01, 172.18.0.13:35544]
HTTP GET /static/profil/css/box-skill.css 200 [0.01, 172.18.0.13:35554]
HTTP GET /static/profil/css/responsive.css 200 [0.01, 172.18.0.13:35560]
HTTP GET /static/login/css/input_style.css 200 [0.01, 172.18.0.13:35600]
HTTP GET /static/login/js/login.js 200 [0.00, 172.18.0.13:35620]
HTTP GET /api/register-42/?code=a086a1772e226350557f2c1b61a6831668ce8f60826610d7cbaae3069d3451eb 302 [1.86, 172.18.0.13:59896]
HTTP GET /profil/ 302 [0.01, 172.18.0.13:59910]
================== DEBOG IMG https://cdn.intra.42.fr/users/2c43b0243f48d421704bc6bdc86e315b/cpeterea.jpg
games <QuerySet []>
=============================================================================================
HTTP GET /en/profil/ 200 [0.34, 172.18.0.13:59926]
HTTP GET /static/css/base.css 200 [0.01, 172.18.0.13:59932]
HTTP GET /static/css/header.css 200 [0.01, 172.18.0.13:59938]
HTTP GET /static/css/footer.css 200 [0.01, 172.18.0.13:59954]
HTTP GET /static/js/notif.js 200 [0.01, 172.18.0.13:59958]
HTTP GET /static/profil/img/banner-demo.jpg 200 [0.01, 172.18.0.13:59972]
HTTP GET /static/leaderboard/css/leaderboard.css 200 [0.00, 172.18.0.13:59976]
HTTP GET /static/home/css/home.css 200 [0.00, 172.18.0.13:59980]
HTTP GET /static/css/home.css 200 [0.01, 172.18.0.13:59988]
HTTP GET /static/profil/css/profil.css 200 [0.01, 172.18.0.13:59992]
HTTP GET /static/progress/css/progress.css 200 [0.01, 172.18.0.13:60000]
HTTP GET /static/login/css/login.css 200 [0.01, 172.18.0.13:60008]
HTTP GET /static/pongTournament/css/pongTournamentLobby.css 200 [0.01, 172.18.0.13:60020]
HTTP GET /static/pongCustom/css/pongCustom.css 200 [0.01, 172.18.0.13:60034]
